category,brand,size,chest_min_cm,chest_max_cm,waist_min_cm,waist_max_cm
tshirt,Uniqlo,XS,81,89,66,71
tshirt,Uniqlo,S,89,97,69,76
tshirt,Uniqlo,M,97,104,76,84
tshirt,Uniqlo,L,104,112,84,91
tshirt,Uniqlo,XL,112,119,91,99
tshirt,Uniqlo,XXL,119,127,99,107
polo,Uniqlo,XS,81,89,66,71
polo,Uniqlo,S,89,97,69,76
polo,Uniqlo,M,97,104,76,84
polo,Uniqlo,L,104,112,84,91
polo,Uniqlo,XL,112,119,91,99
polo,Uniqlo,XXL,119,127,99,107
jeans,Uniqlo,XS,81,89,66,71
jeans,Uniqlo,S,89,97,69,76
jeans,Uniqlo,M,97,104,76,84
jeans,Uniqlo,L,104,112,84,91
jeans,Uniqlo,XL,112,119,91,99
jeans,Uniqlo,XXL,119,127,99,107
jacket,Uniqlo,XS,81,89,66,71
jacket,Uniqlo,S,89,97,69,76
jacket,Uniqlo,M,97,104,76,84
jacket,Uniqlo,L,104,112,84,91
jacket,Uniqlo,XL,112,119,91,99
jacket,Uniqlo,XXL,119,127,99,107
shorts,Uniqlo,XS,81,89,66,71
shorts,Uniqlo,S,89,97,69,76
shorts,Uniqlo,M,97,104,76,84
shorts,Uniqlo,L,104,112,84,91
shorts,Uniqlo,XL,112,119,91,99
shorts,Uniqlo,XXL,119,127,99,107
